date_night,pair,color_index
2025-09-04 05:59:31.760160000,g-o,0.6991666666666667
2025-09-04 06:07:30.329760000,g-o,0.6991666666666667
2025-09-04 06:20:49.356960000,g-o,0.7389393939393951
2025-09-04 06:21:28.409760000,g-o,0.7389393939393951
2025-09-04 06:26:45.065760000,g-o,0.7816666666666663
2025-09-04 06:28:04.294560000,g-o,0.7816666666666663
2025-09-04 06:33:59.571360000,g-o,0.7605555555555537
2025-09-04 06:47:51.948960000,g-o,0.7605555555555537
2025-09-04 09:21:42.233760000,g-o,0.8079166666666673
2025-09-04 09:23:19.606560000,g-o,0.8079166666666673
2025-09-04 09:24:57.929760000,g-o,0.8079166666666673
2025-09-04 09:26:36.252960000,g-o,0.8079166666666673
2025-09-04 09:29:56.441760000,g-o,0.8079166666666673
2025-09-04 09:30:48.627359999,g-o,0.8079166666666673
2025-09-04 09:31:41.072160000,g-o,0.8079166666666673
2025-09-04 09:32:34.035360000,g-o,0.8079166666666673
2025-09-04 10:29:53.964960000,g-o,0.8079166666666673
2025-09-04 10:31:31.510560000,g-o,0.8079166666666673
2025-09-04 10:33:09.401760000,g-o,0.8079166666666673
2025-09-04 10:34:47.552160000,g-o,0.8079166666666673
