mjd,ra,dec
60975.625000,112.066260,9.943110
60975.750000,112.064440,9.942100
60975.875000,112.062680,9.941090
60976.000000,112.060960,9.940090
60976.125000,112.059240,9.939100
60976.250000,112.057470,9.938130
60976.375000,112.055610,9.937160
60976.500000,112.053680,9.936190
60976.625000,112.051710,9.935210
60976.750000,112.049770,9.934220
60976.875000,112.047880,9.933230
60977.000000,112.046040,9.932260
60977.125000,112.044190,9.931290
60977.250000,112.042290,9.930350
60977.375000,112.040310,9.929400
60977.500000,112.038240,9.928450
60977.625000,112.036150,9.927500
60977.750000,112.034080,9.926530
60977.875000,112.032070,9.925570
60978.000000,112.030100,9.924620
60978.125000,112.028130,9.923680
60978.250000,112.026110,9.922750
60978.375000,112.023990,9.921830
60978.500000,112.021800,9.920910
60978.625000,112.019580,9.919980
60978.750000,112.017390,9.919040
60978.875000,112.015250,9.918100
60979.000000,112.013160,9.917170
