date,color,value
2025-05-22,g-r,0.4049999999999976
2025-06-04,g-r,0.34499999999999886
2025-06-18,g-r,0.48499999999999943
2025-06-29,g-r,0.5449999999999982
2025-07-02,g-r,0.7558333333333316
2025-07-03,g-r,0.360714285714284
2025-07-04,g-o,0.8120512820512822
2025-07-06,g-r,0.7774999999999999
2025-07-07,g-r,0.5249999999999986
2025-07-08,g-r,0.6511111111111134
2025-07-11,g-r,0.639999999999997
2025-07-12,g-o,0.8999999999999986
2025-07-13,g-r,0.7074999999999996
2025-07-14,g-r,0.8083333333333336
2025-07-14,g-o,0.6849999999999987
2025-07-15,g-o,0.7800000000000011
2025-07-15,g-r,1.1675000000000004
2025-07-16,g-r,0.7085897435897408
2025-07-17,g-r,0.26342592592592595
2025-07-18,g-r,0.44909090909090565
2025-07-19,g-r,0.5516666666666659
2025-07-20,g-r,0.8850000000000016
2025-07-21,g-r,0.5486666666666657
2025-07-22,g-r,0.6050000000000004
2025-07-26,g-r,0.6750000000000007
2025-07-26,g-o,0.879999999999999
2025-07-27,g-o,0.8866666666666667
2025-07-28,g-r,0.9966666666666661
2025-07-29,g-r,0.6899999999999977
2025-08-17,g-r,-0.21499999999999986
2025-08-17,g-o,0.9375
2025-08-23,g-r,0.6008333333333304
2025-09-04,g-o,0.8079166666666673
