date,days_from_perihelion,mag,inv_mag,inv_mag_smooth,accel_proxy,accel_proxy_scaled,proxy,dt_sec,accel_m_s2,delta_v_m_s,cum_delta_v_m_s
2025-06-30 00:00:00+00:00,-121,16.055,0.0622858922454064,0.0576446299175041,-0.0005005332401132,-0.0022168586749858,-0.0022168586749858,86400.0,-2.003177396487458e-06,-0.17307452705651638,-0.17307452705651638
2025-07-01 00:00:00+00:00,-120,17.971875,0.0556424969570509,0.0581544656655346,0.0005098357480305,0.0022580594259506,0.0022580594259506,86400.0,2.0404068392039748e-06,0.17629115090722342,0.0032166238507070344
2025-07-02 00:00:00+00:00,-119,17.688155339805828,0.0565350077941467,0.0563873826242657,-0.0017670830412689,-0.0078264000380291,-0.0078264000380291,86400.0,-7.072019443074738e-06,-0.6110224798816574,-0.6078058560309503
2025-07-03 00:00:00+00:00,-118,17.548587570621468,0.0569846431215994,0.0571562972244596,0.0007689146001939,0.0034055180858264,0.0034055180858264,86400.0,3.0772628538895824e-06,0.2658755105760599,-0.34193034545489037
2025-07-04 00:00:00+00:00,-117,17.256481481481483,0.0579492407576326,0.0594857645789601,0.0023294673545005,0.010317196739525,0.010317196739525,86400.0,9.322730193372821e-06,0.8054838887074117,0.46355354325252135
2025-07-05 00:00:00+00:00,-116,15.742227979274611,0.0635234098576483,0.060311635003439,0.0008258704244789,0.0036577750850391,0.0036577750850391,86400.0,3.305204997712473e-06,0.28556971180235763,0.749123255054879
2025-07-06 00:00:00+00:00,-115,16.817391304347826,0.0594622543950362,0.0599077509683889,-0.0004038840350501,-0.0017887999338195,-0.0017887999338195,86400.0,-1.6163789034898386e-06,-0.13965513726152207,0.609468117793357
2025-07-07 00:00:00+00:00,-114,17.625,0.0567375886524822,0.0575050696991326,-0.0024026812692563,-0.0106414607225111,-0.0106414607225111,86400.0,-9.615738623969739e-06,-0.8307998171109854,-0.22133169931762842
2025-07-08 00:00:00+00:00,-113,17.757142857142856,0.0563153660498793,0.0570017683307077,-0.0005033013684248,-0.0022291186984349,-0.0022291186984349,86400.0,-2.014255685839305e-06,-0.17403169125651596,-0.3953633905741444
2025-07-09 00:00:00+00:00,-112,17.255555555555556,0.0579523502897617,0.0573446558702664,0.0003428875395587,0.001518646826419,0.001518646826419,86400.0,1.3722656433881333e-06,0.11856375158873472,-0.27679963898540966
2025-07-10 00:00:00+00:00,-111,17.311145833333335,0.0577662512711583,0.0578145197053661,0.0004698638350996,0.0020810240667872,0.0020810240667872,86400.0,1.8804357802200575e-06,0.16246965141101297,-0.11432998757439669
2025-07-11 00:00:00+00:00,-110,17.323529411764707,0.0577249575551782,0.0582081613216727,0.0003936416163066,0.0017434363235241,0.0017434363235241,86400.0,1.5753878562065051e-06,0.13611351077624204,0.021783523201845345
2025-07-12 00:00:00+00:00,-109,16.91095238095238,0.0591332751386816,0.0582792166669053,7.105534523255824e-05,0.0003147036917013,0.0003147036917013,86400.0,2.8436964833188566e-07,0.02456953761587492,0.04635306081772027
2025-07-13 00:00:00+00:00,-108,17.2475,0.057979417306856,0.0586935122568095,0.0004142955899042,0.0018349126469197,0.0018349126469197,86400.0,1.6580468481429291e-06,0.14325524767954909,0.18960830849726934
2025-07-14 00:00:00+00:00,-107,16.958395061728396,0.0589678443248909,0.058454412573984,-0.0002390996828254,-0.0010589710404409,-0.0010589710404409,86400.0,-9.568976478663463e-07,-0.08267595677565232,0.10693235172161702
2025-07-15 00:00:00+00:00,-106,17.11860465116279,0.0584159760902051,0.0589577212969005,0.0005033087229164,0.0022291512714336,0.0022291512714336,86400.0,2.0142851191520672e-06,0.1740342342947386,0.2809665860163556
2025-07-16 00:00:00+00:00,-105,16.809733333333334,0.0594893434756054,0.0600538176269349,0.0010960963300344,0.004854603976565,0.004854603976565,86400.0,4.3866724859289596e-06,0.3790085027842621,0.6599750888006177
2025-07-17 00:00:00+00:00,-104,16.06267441860465,0.0622561333149943,0.0599580532764299,-9.576435050497044e-05,-0.0004241397257118,-0.0004241397257118,86400.0,-3.8325722838588726e-07,-0.03311342453254066,0.6268616642680771
2025-07-18 00:00:00+00:00,-103,17.203211009174314,0.0581286830386902,0.059564618084853,-0.0003934351915769,-0.0017425220696523,-0.0017425220696523,86400.0,-1.5745617265522759e-06,-0.13604213317411665,0.4908195310939605
2025-07-19 00:00:00+00:00,-102,17.150000000000002,0.0583090379008746,0.0583438236465216,-0.0012207944383314,-0.0054068911394915,-0.0054068911394915,86400.0,-4.885725120013376e-06,-0.42212665036915564,0.06869288072480484
2025-07-20 00:00:00+00:00,-101,17.066666666666666,0.05859375,0.0583432687333737,-5.549131479043456e-07,-2.457706955719873e-06,-2.457706955719873e-06,86400.0,-2.2208104993069025e-09,-0.0001918780271401164,0.06850100269766472
2025-07-21 00:00:00+00:00,-100,17.203703703703702,0.0581270182992465,0.0587898345083794,0.0004465657750057,0.0019778371003877,0.0019778371003877,86400.0,1.7871949250243996e-06,0.15441364152210812,0.22291464421977286
2025-07-22 00:00:00+00:00,-99,16.764814814814812,0.0596487352258919,0.0589295430205397,0.0001397085121602,0.0006187681503064,0.0006187681503064,86400.0,5.591255709469501e-07,0.04830844932981649,0.27122309354958934
2025-07-23 00:00:00+00:00,-98,16.945454545454545,0.0590128755364806,0.0590145319166207,8.4988896081023e-05,0.000376415303631,0.000376415303631,86400.0,3.4013292612367935e-07,0.029387484817085894,0.30061057836667526
2025-07-24 00:00:00+00:00,-97,17.128571428571426,0.0583819849874895,0.0586292399457496,-0.0003852919708711,-0.0017064557946934,-0.0017064557946934,86400.0,-1.5419718517044204e-06,-0.13322636798726192,0.16738421037941334
2025-07-25 00:00:00+00:00,-96,17.096103896103898,0.0584928593132786,0.0590808132792927,0.000451573333543,0.002000015546681,0.002000015546681,86400.0,1.8072356081790143e-06,0.15614515654666683,0.32352936692608014
2025-07-26 00:00:00+00:00,-95,16.56517857142857,0.0603675955371099,0.0592858349992937,0.000205021720001,0.0009080399504374,0.0009080399504374,86400.0,8.205146878997341e-07,0.07089246903453703,0.3944218359606172
2025-07-27 00:00:00+00:00,-94,16.95,0.0589970501474926,0.0601738295079159,0.0008879945086222,0.0039329222757181,0.0039329222757181,86400.0,3.5538309653009247e-06,0.30705099540199987,0.7014728313626171
2025-07-28 00:00:00+00:00,-93,16.351399999999998,0.0611568428391452,0.0598989289237586,-0.0002749005841573,-0.0012175330146103,-0.0012175330146103,86400.0,-1.1001759570263133e-06,-0.09505520268707347,0.6064176286755436
2025-07-29 00:00:00+00:00,-92,16.794615384615387,0.0595428937846379,0.0598771137655709,-2.181515818767965e-05,-9.661920287971204e-05,-9.661920287971204e-05,86400.0,-8.730615327858681e-08,-0.0075432516432699,0.5988743770322738
