date,days_from_perihelion,mag,inv_mag,inv_mag_smooth,accel_proxy,accel_proxy_scaled
2025-06-30 00:00:00+00:00,-121,16.055,0.06228589224540642,0.057644629917504124,-0.0005005332401132913,-0.0022168586749858263
2025-07-01 00:00:00+00:00,-120,17.971875,0.055642496957050945,0.05815446566553469,0.0005098357480305682,0.002258059425950681
2025-07-02 00:00:00+00:00,-119,17.688155339805828,0.0565350077941467,0.0563873826242657,-0.0017670830412689909,-0.007826400038029115
2025-07-03 00:00:00+00:00,-118,17.548587570621468,0.05698464312159944,0.057156297224459605,0.000768914600193904,0.0034055180858264256
2025-07-04 00:00:00+00:00,-117,17.256481481481483,0.057949240757632664,0.05948576457896013,0.002329467354500528,0.01031719673952509
2025-07-05 00:00:00+00:00,-116,15.742227979274611,0.06352340985764832,0.06031163500343906,0.0008258704244789236,0.003657775085039176
2025-07-06 00:00:00+00:00,-115,16.817391304347826,0.0594622543950362,0.05990775096838893,-0.00040388403505012965,-0.001788799933819588
2025-07-07 00:00:00+00:00,-114,17.625,0.05673758865248227,0.0575050696991326,-0.0024026812692563293,-0.010641460722511185
2025-07-08 00:00:00+00:00,-113,17.757142857142856,0.05631536604987933,0.05700176833070778,-0.0005033013684248161,-0.0022291186984349956
2025-07-09 00:00:00+00:00,-112,17.255555555555556,0.05795235028976175,0.05734465587026649,0.00034288753955871026,0.0015186468264190068
2025-07-10 00:00:00+00:00,-111,17.311145833333335,0.05776625127115839,0.057814519705366135,0.00046986383509964313,0.0020810240667872362
2025-07-11 00:00:00+00:00,-110,17.323529411764707,0.057724957555178265,0.05820816132167275,0.000393641616306617,0.0017434363235241874
2025-07-12 00:00:00+00:00,-109,16.91095238095238,0.05913327513868161,0.05827921666690531,7.105534523255824e-05,0.0003147036917013869
2025-07-13 00:00:00+00:00,-108,17.2475,0.057979417306856074,0.058693512256809556,0.00041429558990424553,0.0018349126469197478
2025-07-14 00:00:00+00:00,-107,16.958395061728396,0.05896784432489098,0.058454412573984066,-0.00023909968282549016,-0.0010589710404409409
2025-07-15 00:00:00+00:00,-106,17.11860465116279,0.058415976090205136,0.0589577212969005,0.000503308722916436,0.0022291512714336316
2025-07-16 00:00:00+00:00,-105,16.809733333333334,0.0594893434756054,0.06005381762693495,0.001096096330034449,0.004854603976565095
2025-07-17 00:00:00+00:00,-104,16.06267441860465,0.06225613331499432,0.05995805327642998,-9.576435050497045e-05,-0.0004241397257118742
2025-07-18 00:00:00+00:00,-103,17.203211009174314,0.05812868303869023,0.05956461808485306,-0.00039343519157691853,-0.0017425220696523367
2025-07-19 00:00:00+00:00,-102,17.150000000000002,0.058309037900874626,0.05834382364652161,-0.0012207944383314517,-0.005406891139491504
2025-07-20 00:00:00+00:00,-101,17.066666666666666,0.05859375,0.058343268733373706,-5.549131479043456e-07,-2.457706955719873e-06
2025-07-21 00:00:00+00:00,-100,17.203703703703702,0.058127018299246505,0.05878983450837949,0.0004465657750057847,0.00197783710038772
2025-07-22 00:00:00+00:00,-99,16.764814814814812,0.05964873522589198,0.05892954302053973,0.0001397085121602401,0.0006187681503064412
2025-07-23 00:00:00+00:00,-98,16.945454545454545,0.059012875536480686,0.059014531916620754,8.4988896081023e-05,0.0003764153036310638
2025-07-24 00:00:00+00:00,-97,17.128571428571426,0.05838198498748958,0.05862923994574964,-0.00038529197087111555,-0.0017064557946934596
2025-07-25 00:00:00+00:00,-96,17.096103896103898,0.05849285931327863,0.05908081327929271,0.0004515733335430719,0.0020000155466810606
2025-07-26 00:00:00+00:00,-95,16.56517857142857,0.0603675955371099,0.05928583499929372,0.00020502172000100988,0.0009080399504374191
2025-07-27 00:00:00+00:00,-94,16.95,0.058997050147492625,0.06017382950791594,0.0008879945086222168,0.003932922275718135
2025-07-28 00:00:00+00:00,-93,16.351399999999998,0.06115684283914528,0.05989892892375861,-0.0002749005841573282,-0.001217533014610395
2025-07-29 00:00:00+00:00,-92,16.794615384615387,0.059542893784637924,0.05987711376557093,-2.181515818767965e-05,-9.661920287971203e-05
2025-07-30 00:00:00+00:00,-91,16.968823529411765,0.05893160467292959,0.05920295729494828,-0.0006741564706226472,-0.0029858349065076547
2025-07-31 00:00:00+00:00,-90,16.91063829787234,0.05913437342727731,0.059076478115589054,-0.00012647917935922764,-0.000560175515824142
2025-08-01 00:00:00+00:00,-89,16.90232558139535,0.05916345624656026,0.05940649020164256,0.0003300120860535091,0.0014616215211846904
2025-08-02 00:00:00+00:00,-88,16.68846153846154,0.05992164093109011,0.059561197177159075,0.0001547069755165123,0.0006851962532537766
2025-08-03 00:00:00+00:00,-87,16.778947368421054,0.059598494353826845,0.05997342876176482,0.00041223158460574477,0.0018257711800110515
2025-08-04 00:00:00+00:00,-86,16.55625,0.0604001510003775,0.05969104828730562,-0.00028238047445919984,-0.0012506614032462692
2025-08-05 00:00:00+00:00,-85,16.927777777777777,0.059074499507712507,0.05988793881940633,0.0001968905321007089,0.0008720269687008973
2025-08-06 00:00:00+00:00,-84,16.614285714285714,0.06018916595012898,0.05994659205090441,5.865323149808338e-05,0.00025977480543159896
2025-08-07 00:00:00+00:00,-83,16.50815789473684,0.06057611069487176,0.0608842825192808,0.0009376904683763843,0.0041530253790961185
2025-08-08 00:00:00+00:00,-82,16.158333333333335,0.061887570912841666,0.06117985221235894,0.00029556969307814596,0.0013090763722602699
2025-08-09 00:00:00+00:00,-81,16.373076923076923,0.0610758750293634,0.06143279426776649,0.00025294205540754566,0.001120278824383462
